Date,min,max,mean,Ticker
2024 Jan,73.95191955566406,87.24485778808594,82.39464859735398,MMM
2024 Feb,73.30154418945312,76.06958770751953,74.23211059570312,MMM
2024 Mar,73.7288818359375,87.17005157470703,81.07436141967773,MMM
2024 Apr,87.31183624267578,93.06898498535156,88.97796457464045,MMM
2024 May,92.1335678100586,101.50699615478516,96.25630604137073,MMM
2024 Jun,95.37583923339844,100.1824951171875,98.09271601626747,MMM
2024 Jul,96.80326843261719,123.85652923583984,104.01061977039684,MMM
2024 Aug,119.27320861816406,131.49485778808594,124.10022700916637,MMM
2024 Sep,125.41263580322266,136.13214111328125,130.33502120971679,MMM
2024 Oct,121.7906494140625,133.80860900878906,129.68575552235478,MMM
2024 Nov,122.86454010009766,131.15313720703125,127.69561424255372,MMM
2024 Dec,123.20391082763672,130.85935974121094,127.59154546828498,MMM
2024 Jan,75.1306381225586,79.18500518798828,77.54984319777716,AOS
2024 Feb,74.62724304199219,80.25164031982422,77.84070053100587,AOS
2024 Mar,81.01641082763672,87.00865173339844,83.9534740447998,AOS
2024 Apr,80.17420196533203,86.23421478271484,83.51641256159002,AOS
2024 May,78.82195281982422,84.32228088378906,82.35749955610795,AOS
2024 Jun,78.59843444824219,82.04829406738281,80.28935081080387,AOS
2024 Jul,77.91817474365234,89.38532257080078,82.17107911543413,AOS
2024 Aug,76.9332504272461,81.66414642333984,79.1976020119407,AOS
2024 Sep,75.02137756347656,88.36543273925781,80.48922462463379,AOS
2024 Oct,73.58541107177734,86.7559585571289,79.54564733090608,AOS
2024 Nov,69.96983337402344,74.67301940917969,72.49681510925294,AOS
2024 Dec,66.64820098876953,73.14448547363281,69.60728963216145,AOS
2024 Jan,105.38038635253906,110.88809204101562,108.85110364641461,ABT
2024 Feb,107.64913940429688,116.07039642333984,111.3400894165039,ABT
2024 Mar,106.36322021484375,116.95024108886719,112.23394355773925,ABT
2024 Apr,102.28511810302734,108.71268463134766,105.6520486311479,ABT
2024 May,97.87385559082031,103.27620697021484,101.24458521062678,ABT
2024 Jun,99.95318603515625,104.52963256835938,101.77475818834807,ABT
2024 Jul,97.74842071533203,104.77161407470703,101.12783293290572,ABT
2024 Aug,105.2990951538086,110.64218139648438,108.31162643432617,ABT
2024 Sep,109.82167053222656,115.3894271850586,112.22508964538574,ABT
2024 Oct,109.62631225585938,117.1698226928711,112.94462485935377,ABT
2024 Nov,112.89090728759766,116.73799896240234,114.91406860351563,ABT
2024 Dec,109.84855651855469,114.63780212402344,112.24317641485305,ABT
2024 Jan,148.97479248046875,157.62539672851562,153.1613282703218,ABBV
2024 Feb,157.71006774902344,168.4380340576172,164.5481979370117,ABBV
2024 Mar,165.87838745117188,171.36468505859375,168.71233825683595,ABBV
2024 Apr,151.6127471923828,170.10366821289062,158.74813357266513,ABBV
2024 May,147.0250244140625,158.07162475585938,152.86868771639737,ABBV
2024 Jun,152.1541748046875,164.07460021972656,160.165771484375,ABBV
2024 Jul,155.62103271484375,179.04000854492188,165.43333435058594,ABBV
2024 Aug,176.7202911376953,189.36370849609375,184.84279424493963,ABBV
2024 Sep,183.33436584472656,191.08912658691406,186.51343688964843,ABBV
2024 Oct,180.23785400390625,196.9823760986328,185.62131334387738,ABBV
2024 Nov,159.41590881347656,196.67318725585938,175.41161041259767,ABBV
2024 Dec,165.7252960205078,175.62901306152344,170.324951171875,ABBV
2024 Jan,326.6309509277344,363.5939025878906,346.3222060430618,ACN
2024 Feb,351.4789123535156,368.15155029296875,360.7501708984375,ACN
2024 Mar,325.09686279296875,376.799560546875,357.6143173217773,ACN
